Source,Target,BLEU,chrF,Num_Samples
Hindi,English,7.006132074324454,38.51127934515661,50
Hindi,Urdu,6.5650497619273205,28.213977348625086,50
Hindi,Gujarati,3.1916956606119733,23.05496424030099,50
Hindi,Punjabi,1.5125419545264547,18.409216221893224,50
Hindi,Telugu,1.3785261747029847,20.205789963507225,50
Hindi,Bengali,1.2015895620533719,25.42296451485259,50
Hindi,Nepali,0.9822451487742593,24.681605431176283,50
Hindi,Kannada,0.9265170208349527,19.331701521308723,50
Hindi,Malayalam,0.6543709004421019,17.743311877613042,50
Hindi,Assamese,0.6276825780763589,18.156759214369732,50
Hindi,Tamil,0.5583242215859685,20.009401045566545,50
Hindi,Marathi,0.4927634513183621,22.18142287167818,50
Hindi,Odia,0.3685271802770504,14.346079602730812,50
Hindi,Sanskrit,0.06713048063052751,16.35544811566667,50
