Source,Target,BLEU,chrF,Num_Samples
English,Bengali,3.217303081864906,27.477761185650046,50
Hindi,Bengali,2.126156847316086,25.702571134191693,50
Kannada,Bengali,1.811401660121352,22.635229208174223,50
Odia,Bengali,1.6000333876441872,22.771600316664,50
Gujarati,Bengali,1.4016952231546724,22.654630887767265,50
Telugu,Bengali,1.261701143880646,21.339396773508167,50
Marathi,Bengali,1.24449318188166,23.56898527786301,50
Nepali,Bengali,1.1493379190913888,21.945980924543424,50
Urdu,Bengali,1.1271302308371658,20.99363315590562,50
Tamil,Bengali,0.8261678332167157,20.386380723899745,50
Malayalam,Bengali,0.8153846170292024,19.575147306940647,50
Sanskrit,Bengali,0.6846675326541641,20.431578848137658,50
Punjabi,Bengali,0.6227464000983506,19.0001641982974,50
Assamese,Bengali,0.57612210513828,20.481117281233388,50
