Source,Target,BLEU,chrF,Num_Samples
Hindi,English,8.042647716519433,40.663583516448696,50
Urdu,English,7.7636423503620735,40.11806767493873,50
Gujarati,English,6.979656640294636,37.865779407525956,50
Bengali,English,6.765135140270279,38.70276070544101,50
Odia,English,6.546557010493841,36.34233986354533,50
Kannada,English,6.338441551690572,37.854239222213884,50
Assamese,English,6.296746908489818,37.88005683379822,50
Nepali,English,6.086788248124182,36.84393492819766,50
Marathi,English,5.706270444688679,36.13454624572447,50
Telugu,English,5.366522195030295,36.1555046869299,50
Malayalam,English,4.851286858226003,35.434569049494954,50
Tamil,English,4.537466530096375,34.142649017424404,50
Sanskrit,English,3.500781923020934,31.336347686688526,50
Punjabi,English,3.3814196555326035,30.452388319832984,50
