Source,Target,BLEU,chrF,Num_Samples
Gujarati,Hindi,6.5181182388815095,30.723872462396162,50
English,Hindi,6.004420220688651,30.47267102936435,50
Urdu,Hindi,5.810143445360223,28.97200221045186,50
Odia,Hindi,5.09909279710977,28.024383758301074,50
Kannada,Hindi,4.5989084160363936,29.241686877315715,50
Telugu,Hindi,4.582029828496816,27.432804596415988,50
Assamese,Hindi,4.299838750036923,27.706292036320733,50
Malayalam,Hindi,3.554487102023447,24.5106686700469,50
Bengali,Hindi,3.463407757828512,26.435708045400403,50
Tamil,Hindi,2.9585551787434956,23.410071726093832,50
Punjabi,Hindi,2.4804477504745575,21.6892593233087,50
Sanskrit,Hindi,1.7568957118082436,18.766760540387715,50
Nepali,Hindi,1.5307861110596412,22.483251590579034,50
Marathi,Hindi,0.9589422537049018,19.622915815401456,50
