Source,Target,BLEU,chrF,Num_Samples
Tamil,Telugu,1.585467491500959,15.4408727801578,50
Nepali,Telugu,1.4693386512672428,16.306012286078218,50
Malayalam,Telugu,1.3750221146441048,17.288035469504905,50
Hindi,Telugu,1.3633185089043698,20.09431031924436,50
Marathi,Telugu,1.1438775953139717,18.994096161063425,50
English,Telugu,0.9791758774136324,14.11152483132697,50
Punjabi,Telugu,0.9621346298907743,13.300942600066229,50
Urdu,Telugu,0.8192786838049549,16.717652264134315,50
Kannada,Telugu,0.7556646028190783,16.377855418579355,50
Bengali,Telugu,0.6313242850485518,18.695777740004278,50
Gujarati,Telugu,0.5253064655524154,15.837793342843579,50
Odia,Telugu,0.4215485885308525,15.224274800995524,50
Assamese,Telugu,0.4074784057311125,16.690406933912598,50
Sanskrit,Telugu,0.4038454213185412,16.879345520322815,50
