Source,Target,BLEU,chrF,Num_Samples
Gujarati,Bengali,5.646608055995813,29.010712078079305,50
Nepali,Bengali,4.00753521143008,29.349946993075733,50
Marathi,Bengali,3.7476208313465302,26.981674818194108,50
Urdu,Bengali,3.6028506934226465,27.76312791308318,50
English,Bengali,3.0814867374464794,25.876433772576625,50
Hindi,Bengali,2.884060660049913,29.50643760306251,50
Odia,Bengali,2.8033142423375126,30.501976481562487,50
Malayalam,Bengali,2.776230519924799,26.61736869424269,50
Kannada,Bengali,2.6718146297397527,25.246011596019706,50
Punjabi,Bengali,2.376400288188105,23.82283709401199,50
Telugu,Bengali,2.080519984253165,27.03757090876153,50
Assamese,Bengali,1.56439433034273,25.61903539040427,50
Sanskrit,Bengali,1.0742791250037953,24.095898141805925,50
Tamil,Bengali,1.0261398491046938,23.500227112553866,50
