Source,Target,BLEU,chrF,Num_Samples
Urdu,English,10.885401538573518,42.88948877069993,50
Kannada,English,10.092636984082947,43.70763609918378,50
Hindi,English,9.674796154926744,43.56278838298662,50
Bengali,English,9.619656049462643,41.63685704711116,50
Odia,English,9.596120762858355,37.94749765736635,50
Assamese,English,8.943202446203687,39.50717070148787,50
Gujarati,English,8.850778652752194,40.23421114946545,50
Tamil,English,7.944377103416275,40.15687912038963,50
Telugu,English,7.501378172341381,38.06984028195157,50
Marathi,English,7.252357103403733,36.233748643153326,50
Nepali,English,7.0799465569000075,37.66220696632489,50
Malayalam,English,6.54934359724237,34.99510961408784,50
Sanskrit,English,4.3792313610542974,33.20289466323993,50
Punjabi,English,4.351932461923343,29.203384312707296,50
