Source,Target,BLEU,chrF,Num_Samples
Gujarati,Hindi,13.633254120248795,39.01423655597001,50
Odia,Hindi,11.75633998075976,39.03629683538497,50
Urdu,Hindi,9.772135029022722,35.684984544282386,50
Punjabi,Hindi,8.1167527013279,33.69913674769423,50
Bengali,Hindi,7.928108012809337,34.22032128028843,50
English,Hindi,7.825593471951558,30.812484959528902,50
Kannada,Hindi,7.740737067335636,35.2139382427904,50
Assamese,Hindi,7.566938710322098,33.43154779806649,50
Marathi,Hindi,7.134052697234991,30.80242572992786,50
Telugu,Hindi,6.878009769986806,33.15309464667702,50
Malayalam,Hindi,6.81125840451315,33.50326129573856,50
Nepali,Hindi,5.750860892817041,32.37121340791447,50
Tamil,Hindi,4.934159026545677,28.813794093779567,50
Sanskrit,Hindi,4.382004609980294,25.65379192927341,50
