Source,Target,BLEU,chrF,Num_Samples
Malayalam,Telugu,2.3256391868079493,22.473218069570365,50
Marathi,Telugu,1.9486322775859881,22.481760954275714,50
Tamil,Telugu,1.8343787112396863,20.288150096732778,50
Kannada,Telugu,1.7003251642490667,23.22815004394138,50
Gujarati,Telugu,1.481064946235078,20.605890825219756,50
Hindi,Telugu,1.3585447713494312,21.59437625547494,50
Odia,Telugu,1.3008327814617053,22.26660681371326,50
Urdu,Telugu,1.2908916359475373,20.161065696337964,50
Nepali,Telugu,1.1743095162205612,21.817136288175675,50
English,Telugu,1.024851515490806,21.241448222931062,50
Bengali,Telugu,0.9466753237914342,20.632021020701455,50
Assamese,Telugu,0.8762085101426956,20.700183131625675,50
Punjabi,Telugu,0.837665548012283,19.397428916984712,50
Sanskrit,Telugu,0.8115132720019053,20.043077833868395,50
